zipcode,borough,year,count,home_value
10020,MANHATTAN,2015,460,
10020,MANHATTAN,2016,458,
10020,MANHATTAN,2017,219,
10020,MANHATTAN,2018,253,
10020,MANHATTAN,2019,533,
10020,MANHATTAN,2020,321,
10020,MANHATTAN,2021,469,
10020,MANHATTAN,2022,568,
10037,MANHATTAN,2015,273,
10037,MANHATTAN,2016,245,
10037,MANHATTAN,2017,558,
10037,MANHATTAN,2018,522,
10115,MANHATTAN,2015,177,
10115,MANHATTAN,2016,186,
10115,MANHATTAN,2017,354,
10115,MANHATTAN,2018,419,
10115,MANHATTAN,2019,646,
10115,MANHATTAN,2020,329,
10115,MANHATTAN,2021,200,
10115,MANHATTAN,2022,270,
10301,STATEN ISLAND,2017,84,
10301,STATEN ISLAND,2018,97,
10301,STATEN ISLAND,2020,102,
10302,STATEN ISLAND,2015,18,
10302,STATEN ISLAND,2016,18,
10302,STATEN ISLAND,2017,15,
10302,STATEN ISLAND,2018,15,
10302,STATEN ISLAND,2019,16,
10302,STATEN ISLAND,2020,10,
10302,STATEN ISLAND,2021,26,
10302,STATEN ISLAND,2022,26,
10303,STATEN ISLAND,2015,11,
10303,STATEN ISLAND,2016,7,
10303,STATEN ISLAND,2017,9,
10303,STATEN ISLAND,2018,14,
10303,STATEN ISLAND,2019,9,
10303,STATEN ISLAND,2020,11,
10303,STATEN ISLAND,2021,15,
10303,STATEN ISLAND,2022,22,
10304,STATEN ISLAND,2015,29,
10304,STATEN ISLAND,2016,32,
10304,STATEN ISLAND,2017,28,
10304,STATEN ISLAND,2018,21,
10304,STATEN ISLAND,2019,17,
10304,STATEN ISLAND,2020,20,
10304,STATEN ISLAND,2021,31,
10304,STATEN ISLAND,2022,35,
10305,STATEN ISLAND,2015,42,
10305,STATEN ISLAND,2016,48,
10305,STATEN ISLAND,2017,48,
10305,STATEN ISLAND,2018,42,
10305,STATEN ISLAND,2019,56,
10305,STATEN ISLAND,2020,38,
10305,STATEN ISLAND,2021,45,
10305,STATEN ISLAND,2022,53,
10306,STATEN ISLAND,2015,34,
10306,STATEN ISLAND,2016,29,
10306,STATEN ISLAND,2017,17,
10306,STATEN ISLAND,2018,17,
10306,STATEN ISLAND,2019,18,
10306,STATEN ISLAND,2020,16,
10306,STATEN ISLAND,2021,34,
10306,STATEN ISLAND,2022,35,
10307,STATEN ISLAND,2015,1,
10307,STATEN ISLAND,2016,1,
10307,STATEN ISLAND,2017,1,
10307,STATEN ISLAND,2018,3,
10307,STATEN ISLAND,2019,8,
10307,STATEN ISLAND,2020,4,
10307,STATEN ISLAND,2021,2,
10307,STATEN ISLAND,2022,4,
10308,STATEN ISLAND,2015,13,
10308,STATEN ISLAND,2016,13,
10308,STATEN ISLAND,2017,11,
10308,STATEN ISLAND,2018,10,
10308,STATEN ISLAND,2019,7,
10308,STATEN ISLAND,2020,10,
10308,STATEN ISLAND,2021,15,
10308,STATEN ISLAND,2022,18,
10309,STATEN ISLAND,2015,5,
10309,STATEN ISLAND,2016,4,
10309,STATEN ISLAND,2018,1,
10309,STATEN ISLAND,2019,2,
10309,STATEN ISLAND,2020,5,
10309,STATEN ISLAND,2021,6,
10309,STATEN ISLAND,2022,6,
10310,STATEN ISLAND,2015,34,
10310,STATEN ISLAND,2016,38,
10310,STATEN ISLAND,2017,8,
10310,STATEN ISLAND,2018,20,
10310,STATEN ISLAND,2019,45,
10310,STATEN ISLAND,2020,20,
10310,STATEN ISLAND,2021,33,
10310,STATEN ISLAND,2022,43,
10311,STATEN ISLAND,2020,1,
10312,STATEN ISLAND,2015,8,
10312,STATEN ISLAND,2016,10,
10312,STATEN ISLAND,2017,11,
10312,STATEN ISLAND,2018,6,
10312,STATEN ISLAND,2019,5,
10312,STATEN ISLAND,2020,6,
10312,STATEN ISLAND,2021,7,
10312,STATEN ISLAND,2022,11,
10314,STATEN ISLAND,2015,8,
10314,STATEN ISLAND,2016,6,
10314,STATEN ISLAND,2017,3,
10314,STATEN ISLAND,2018,4,
